code,description,qty_out
GYP006,Gypsum Board Hada,848.0
GYP008,Gypsum Board Moist Resistant,53.0
GYP010,Gypsum Board Waterproof 9mm,1.0
GYP011,Gypsum Channel,1618.0
GYP012,Gypsum Cornice-Plain,183.0
GYP013,Gypsum Corner Bead,28.0
GYP016,Gypsum Fibre Tape,29.0
GYP020,Gypsum Knife,1.0
GYP021,Gypsum Powder 1kg,60.5
GYP022,Gypsum Powder 25kg,98.0
GYP025,Gypsum Screws 1 *1000pcs -Blue esBseOnMtiaAlS,156.0
GYP026,Gypsum Screws 1 Pkt,7.0
GYP027,Gypsum Screws 11/2 Pkt,14.0
GYP028,Gypsum Screws 11/4 Pkt,4.0
GYP029,Gypsum Screws 2 Pkt,11.0
GYP030,Gypsum Screws 3/4 Pkt,1.0
GYP034,Gypsum Stud,3682.0
GYP037,Gypsum Screws 1 *1000pcs,1.0
GYP038,Gypsum Cornice-Flowered,16.0
GYP039,Gypsum Stud 75mm,15.0
GYP040,Gypsum Channel 75mm,7.0
GYP041,Gypsum Furring Channel 68,13.0
HAC001,Hacksaw Blade,424.0
HAC005,Hacksaw Frame J/K,4.0
HAC006,Hacksaw Frame Orange,8.0
HAM001,Hammer Jk,2.0
HAM003,Hammer Rubber 29mm,9.0
HAN003,Handsaw 16,2.0
HAN006,Hard Broom With Handle,49.0
HAN007,Hard Broom Without Handle,5.0
HAN008,Handsaw 16 -Metallic,1.0
HAS005,Hasp Juakali,15.0
HDP003,Hdpe Pipe Roll 50mm,2.0
HEL001,Helmets Red,4.0
HEL003,Helmets white,15.0
HEL004,Helmets yellow,2.0
HEM001,Hemp,3.0
HIL003,Hilt Bit 14mm,1.0
HIL005,Hilt Bit 6mm,4.0
HIL006,Hilt Bit 8mm,3.0
HIL007,Hilt Bit 10MM,1.0
HIN002,Hinges 1.5- Pairs,0.0
HIN003,Hinges 2- Pairs,6.0
HIN004,Hinges 2.5- Pairs,1.0
HIN005,Hinges 3- Pairs,25.0
HIN006,Hinges 4- Pairs,43.0
HIN015,Hinges Oxford Brass,21.0
HIN016,Hinges Oxford Silver,9.0
HOO003,Hoop Iron Roll,395.0
HOS012,Hose Pipe Braided 1/2x50m,2.0
HOS014,Hose Pipe Braided 1x50,2.0
HOS015,Hose Pipe Braided 3/4x30m,4.0
HOS016,Hose Pipe Braided 3/4x50m,3.0
HOS018,Hose Pipe Clear 1/2x60ft,6.0
HOS019,Hose Pipe Clear 1/4 X 50 Roll(s),4.0
HOS023,Hose Pipe Zebra 1/2x60ft,1.0
HOS026,Hose Pipe Zebra 3/4x60ft,1.0
IND001,Ind Socket Single Phase,1.0
INS001,Insulating Tape Black Big,48.0
INS002,InsulatingTape Black Small,13.0
INS008,Insulating Tape White Big,2.0
INS012,Instant Shower Ener 4t,3.0
INS015,Instant Shower Lorenzeti,6.0
INS019,Insulating Tape Red Big,2.0
INS020,Insulating Tape Blue Big,0.0
IZO001,IZOSTOP 3001-Kalekim,100.0
J,B002 J Boxes Big,32.0
JEM002,Jembe 2.5LB,7.0
JEM003,Jembe 2LB,0.0
JEM005,Jembe Handle,35.0
JUM001,Jumbo Tank 10000l,1.0
JUM002,Jumbo Tank 1000l,2.0
JUM003,Jumbo Tank 100l,1.0
JUM010,Jumbo Tank 3000l,3.0
JUM014,Jumbo Tank 5000l,2.0
JUM017,Jumbo Tank Rect 1000l,2.0
JUM019,Jumbo Tank Rect 500l,1.0
KIF001,Kifagio Big,32.0
