code,description,qty_out
MAS006,"Masking Tape Welfast 1""",80.0
MAS008,"Masking Tape Welfast 2""",70.0
MAS010,Mason Bit 10mm,1.0
MAS014,Mason Bit 6mm,4.0
MAS015,Mason Bit 8mm,6.0
MAS016,Mason Chisel Flat,5.0
MAS017,Mason Chisel Pointed,26.0
MAS019,Mason Hammer 2.5lb,10.0
MAS020,Mason Hammer 2lb,2.0
MAS021,Mason Hammer 3lb,10.0
MAT001,Mattock Combined,19.0
MCB004,MCB 10 AMP,1.0
MCB005,MCB 16 AMP,0.0
MDF007,Mdf Board White,1.0
MDF012,Mdf Screws 1 Pkt,3.0
MDF013,Mdf Screws 1/12 Pkt,4.0
MDF014,Mdf Screws 11/4 Pkt,4.0
MDF015,Mdf Screws 2 Pkt,8.0
MET009,Metro Glue 250gms,2.0
MIN001,Mini Trunking,4.0
MIR001,Mirror Screws Pcs,520.0
MOP006,Mop Teepee,1.0
NAI001,Nails 1'- Kgs,6.5
NAI002,Nails 1.5'- Kgs,10.25
NAI003,Nails 2'- Kgs,107.5
NAI004,Nails 2.5'- Kgs,66.75
NAI005,Nails 3'- Kgs,493.25
NAI006,Nails 4'- Kgs,480.0
NAI007,Nails 5'- Kgs,5.75
NAI011,Nails Bag 2,4.0
NAI012,Nails Bag 2.5,4.0
NAI013,Nails Bag 3,34.0
NAI014,Nails Bag 4,46.0
NAI015,Nails Bag 5,0.0
NAI018,Nails Bag Ceiling 1.5,0.0
NAI023,Nails Ceiling 1.5,5.0
NAI024,Nails Panel Pins 1,0.25
NAI025,Nails Panel Pins 1.5,9.0
NAI029,Nails Roofing Bag,1.0
NAI030,Nails Roofing Kgs,53.75
NAI031,Nails U Bags,1.0
NAI032,"Nails Polished Bag 1""",1.0
NAI034,"Nails Bag 1.5""",1.0
NAI035,Nails U Kgs,15.5
NON002,Non Return Valve 1 pegler,3.0
NON003,Non Return Valve 1/2 Pegler,1.0
NON006,Non Return Valve 3/4 Pegler,0.0
NYU001,Nyumba Cement,1400.0
OLD001,Old News Papers,15.0
PAD001,Padbolt 6,19.0
PAD004,Padbolt Jk Big,4.0
PAD006,Padbolt Juakali-Shiny,2.0
PAD009,Padlock Mindy 70mm,2.0
PAD016,Padlock Tri Circle 262,2.0
PAD017,Padlock Tri Circle 263,7.0
PAD018,Padlock Tri Circle 264,1.0
PAD019,Padlock Tri Circle 265,1.0
PAD020,Padlock Tri Circle 266,9.0
PAD021,Padlock Mindy 60mm,0.0
PAD022,Padlock Mindy 50mm,3.0
PAI002,Paint Roller 4,2.0
PAI004,Paint Roller 9,51.0
PAN001,Panga,9.0
PAN002,Panga H/G,8.0
PAT001,Pattress Double Deep,13.0
PAT003,Pattress Single Deep,10.0
PIL003,Pillar Tap Basin Type,1.0
PIL006,Pillar Tap Sprout,0.0
PIP001,Pipe Wrench 10,1.0
PIP003,Pipe Wrench 14,1.0
PLA001,Plain Sheet Roll 30g,2.0
PLA002,Plain Sheet Roll 32g,1.0
PLA004,Plascon Ext Clear 5l,4.0
PLA008,Plascon Int Clear 5l,3.0
PLA016,Plain sheet 30g mtrs,44.5
PLI001,Pliers H.G,2.0
PLI003,Pliers Red,3.0
PLU001,Plumb Line,2.0
PLY001,Plywood 3mm,31.0
PLY002,Plywood 6mm,77.0
POL003,Polythene Black 15kg,39.0
POL004,Polythene Black 20kg,30.0
POL005,Polythene Black Mtrs,139.0
POL006,Polythene Clear Mtrs,9.0
POL007,Polythene Clear Roll,2.0
PON001,Ponal Glue 1/2l,11.0
PON002,Ponal Glue 1/4l,7.0
PON005,Ponal Glue 4l,0.0
POU002,Poultry Mesh Green,0.0
PPR002,Ppr Ball Cork 25mm,2.0
PPR003,Ppr Ball Cork 32mm,0.0
PPR007,Ppr Cup 20mm,5.0
PPR008,Ppr Cup 25mm,11.0
PPR014,Ppr Elbow 20mm,15.0
PPR015,Ppr Elbow 20mm *45',10.0
PPR016,Ppr Elbow 25mm,205.0
PPR017,Ppr Elbow 25mmx45,18.0
PPR018,Ppr Elbow 32mm,135.0
PPR021,Ppr Elbow 50mm,4.0
PPR023,Ppr F/Adapter 20x1/2,5.0
PPR024,Ppr F/Adapter 25x1/2,72.0
PPR025,Ppr F/Adapter 25x3/4,28.0
PPR026,Ppr F/Adapter 32x1,11.0
PPR027,Ppr F/Adapter 32x3/4,7.0
PPR028,Ppr F/Adapter 40x11/4,1.0
PPR032,Ppr F/Elbow 25x1/2,64.0
PPR033,Ppr F/Elbow 25x3/4,2.0
PPR040,Ppr F/Tee 25x1/2,1.0
PPR042,Ppr F/Tee 32x1,0.0
PPR047,Ppr Gate Valve 20mm,2.0
PPR050,Ppr M/Adapter 20x1/2,6.0
PPR051,Ppr M/Adapter 25x1/2,59.0
PPR052,Ppr M/Adapter 25x3/4,43.0
PPR053,Ppr M/Adapter 32x1,24.0
PPR055,Ppr M/Adapter 32x3/4,4.0
PPR057,Ppr M/Adapter 50x11/2,2.0
PPR060,Ppr M/Elbow 25x1/2,12.0
PPR065,Ppr M/Elbow 50x11/2,2.0
PPR069,Ppr M/Tee 32x1,0.0
PPR074,Ppr M/Thread Union 3/4,4.0
PPR075,Ppr Machine H/G,0.0
PPR076,Ppr Overbend 25mm,29.0
PPR078,Ppr Pipe 20mm,0.0
PPR085,Ppr Pipe Danco 25mm,89.0
PPR086,Ppr Pipe Danco 32mm,75.0
PPR087,Ppr Pipe Danco 40mm,0.0
PPR092,Ppr Pipe Metro 32mm,2.0
PPR100,Ppr Pipe Roll Danco 25mm,0.0
PPR101,Ppr Pipe Roll Danco 32mm,0.0
PPR107,Ppr Red/Socket 25x20,48.0
PPR109,Ppr Red/Socket 32x25,11.0
PPR111,Ppr Red/Socket 40x32,3.0
PPR113,Ppr Red/Socket 50x25,3.0
PPR122,Ppr Red/Tee 32x25,1.0
PPR125,Ppr Socket 20mm,21.0
PPR126,Ppr Socket 25mm,139.0
PPR127,Ppr Socket 32mm,104.0
PPR128,Ppr Socket 40mm,3.0
PPR137,Ppr Tee 20mm,5.0
PPR138,Ppr Tee 25mm,79.0
PPR139,Ppr Tee 32mm,50.0
PPR140,Ppr Tee 40mm,1.0
PPR141,Ppr Tee 50mm,1.0
PPR143,Ppr Thread Union 20mm,0.0
PPR144,Ppr Thread Union 25mm,2.0
PPR147,Ppr Union 20mm,6.0
PPR148,Ppr Union 25mm,2.0
PPR149,Ppr Union 32mm,5.0
PUT004,Putty Premium Buckets- 40kgs,0.0
PVC001,Pvc Bend 11/2x45,21.0
PVC002,Pvc Bend 11/2x90,49.0
PVC003,Pvc Bend 11/4x45,9.0
PVC004,Pvc Bend 11/4x90,5.0
PVC005,Pvc Bend 2x45,60.0
PVC006,Pvc Bend 2x90,72.0
PVC007,Pvc Bend 3x45,1.0
PVC008,Pvc Bend 3x90,21.0
PVC009,Pvc Bend 4x45,43.0
PVC010,Pvc Bend 4x90,73.0
PVC011,Pvc Bend 6x45,4.0
PVC012,Pvc Bend 6x90,14.0
PVC016,Pvc Boss Connector 4x2,12.0
PVC020,Pvc Flex Bend 4,3.0
PVC022,Pvc Floor Trap 4way,58.0
PVC023,Pvc Floor Trap 1Way,11.0
PVC026,Pvc Full Bora 4,10.0
PVC028,Pvc Gulley Trap 4,18.0
PVC031,Pvc Inspection Bend 4,2.0
PVC034,Pvc Plug 11/2,8.0
PVC035,Pvc Plug 11/4,2.0
