code,description,qty_out
ELE035,Elec Cable Twin 1.5mm Mtrs,131.0
ELE036,Elec Cable Twin 2.5mm Mtrs,190.0
ELE038,ELEC CABLE FLEX 2.5MM ROLL,2.0
EME001,Emery Cloth No. 0,123.0
EXP002,Expanded Metal Medium,10.0
EXT005,Extension Socket 4way,1.0
EXT006,Extension Socket 6way,1.0
EYE001,Eye Hook 4,0.0
EYE002,Eye Hook No 10,11.0
EYE003,Eye Hook No 12,10.0
EYE004,Eye Hook No 2,0.0
EYE005,Eye Hook No 3,21.0
EYE006,Eye Hook No 4,0.0
EYE007,Eye Hook No 6,1.0
EYE008,Eye Hook No 8,82.0
FEV003,Fevicol Pur 150g,3.0
FEV004,Fevicol Pur 1kg,6.0
FEV005,Fevicol Pur 500gm,7.0
FIB001,FIBRE DISK,1.0
FIL001,File 10 jk,14.0
FIL002,File 12,2.0
FIL003,File 8 jk,4.0
FIL004,File Round jk,0.0
FIL005,File Saw J.K,12.0
FLA001,Flap Disk 4,29.0
FLA002,Flap Disk 7,7.0
FLA003,Flush Door,2.0
FLA007,Flusher Plugs pcs,869.0
FLA009,Flashing Handle L/G,1.0
FLA010,Flat 11/2x1/4,37.0
FLA011,Flat 11/2x1/8,19.0
FLA013,Flat 1x1/4,23.0
FLA014,Flat 1x1/8,52.0
FLA015,Flat 2x1/4,6.0
FLA016,Flat 2x1/8,12.5
FLA017,Flat 3/4x1/4,11.0
FLA018,Flat 3/4x1/8,48.0
FLE002,Flex Tube Metallic 1/2x1.5ft,33.0
FLE004,Flex Tube Plastic 1/2x2ft,13.0
FLE007,Flex Tube Plastic 1/2x1.5ft,2.0
FLE009,Flex metallic Tube 1/2x2ft,8.0
FLE012,Flex Tube Metallic 1/2x1ft,29.0
FLE013,Flex conduit 20mm Mtrs,6.0
FLE016,Flex conduit Roll 20mm White,50.0
FLE017,Flex conduit Roll 25mm white,2.0
FLO001,Float Switch,2.0
FLO006,Flourescent Fitting 2ft,0.0
FLO007,Flourescent Fitting 4ft,3.0
