code,description,avg_monthly_q1,april_qty,old_moq,new_moq
PPR009,Ppr Cup 32mm,11.333333333333334,20.0,2.8333333333333335,5.0
PPR010,Ppr Cup 40mm,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
PPR011,Ppr Cup 50mm,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
PPR012,Ppr Cup 63mm,0.0,0.0,0.0,0.0
PPR013,Ppr Double Elbow 25x1/2,5.666666666666667,12.0,1.4166666666666667,3.0
PPR014,Ppr Elbow 20mm,20.666666666666668,10.0,5.166666666666667,5.166666666666667
PPR015,Ppr Elbow 20mm *45',0.0,0.0,0.0,0.0
PPR016,Ppr Elbow 25mm,540.0,600.0,135.0,150.0
PPR017,Ppr Elbow 25mmx45,20.333333333333332,9.0,5.083333333333333,5.083333333333333
PPR018,Ppr Elbow 32mm,208.33333333333334,185.0,52.08333333333333,52.08333333333333
PPR019,Ppr Elbow 32mm x45,4.333333333333333,0.0,1.0833333333333333,1.0833333333333333
PPR020,Ppr Elbow 40mm,14.333333333333334,22.0,3.583333333333333,5.5
PPR021,Ppr Elbow 50mm,5.333333333333333,1.0,1.3333333333333333,1.3333333333333333
PPR022,Ppr Elbow 63mm,3.3333333333333335,0.0,0.8333333333333334,0.8333333333333334
PPR023,Ppr F/Adapter 20x1/2,6.333333333333333,2.0,1.5833333333333335,1.5833333333333335
PPR024,Ppr F/Adapter 25x1/2,42.333333333333336,41.0,10.583333333333334,10.583333333333334
PPR025,Ppr F/Adapter 25x3/4,24.0,17.0,6.0,6.0
PPR026,Ppr F/Adapter 32x1,16.666666666666668,21.0,4.166666666666667,5.25
PPR027,Ppr F/Adapter 32x3/4,1.6666666666666667,2.0,0.4166666666666667,0.5
PPR028,Ppr F/Adapter 40x11/4,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
PPR029,Ppr F/Adapter 50x11/2,2.3333333333333335,1.0,0.5833333333333334,0.5833333333333334
PPR030,Ppr F/Adapter 63x2,0.0,0.0,0.0,0.0
PPR031,Ppr F/Elbow 20x1/2,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PPR032,Ppr F/Elbow 25x1/2,189.66666666666666,257.0,47.416666666666664,64.25
PPR033,Ppr F/Elbow 25x3/4,31.0,39.0,7.75,9.75
PPR034,Ppr F/Elbow 32x1,2.6666666666666665,5.0,0.6666666666666666,1.25
PPR036,Ppr F/Elbow 32x3/4,1.0,0.0,0.25,0.25
