code,description,qty_out
CON016,Consumer Unit 6way,1.0
CON017,Consumer Unit 8way,10.0
CON021,Conta 1/2kg,11.0
CON022,Conta 1/4kg,14.0
CON023,Conta 100ml,31.0
CON024,Conta 1kg,49.0
CON025,Conta 4kg,55.0
CON026,Conta 50ml,9.0
CON028,Consumer Unit 12way,5.0
COO002,Cooker Unit Socket,3.0
COO003,Cooker Connector,3.0
COO004,Cooker Socket Grey,0.0
COO005,Cooker Socket Black,0.0
COO006,Cooker Socket Gold,0.0
COR001,Cornace Super Fix 2kg,14.0
COR003,Corner Strip,1.0
COR004,Corner Strip Aluminium,186.0
COR005,Corner Strip Cream,11.0
COR006,Corner Strip Gold,2.0
COR007,Corner Strip L Shaped,414.0
COR008,Corner Strip Plastic White,46.0
COR010,Gypsum Corner Tape,100.0
COR011,Cornace Super Fix 5kg,7.0
COR012,Cordless Spray Gun Set-(FCSG20LFBXO-1M)AS,0.0
COU001,Counter Sunk Screw 1,3.0
COU002,Counter Sunk Screw 1.5,28.0
COU004,Counter Sunk Screw 2,7.0
COU007,Coupler Threaded 20mm,182.0
COU008,Coupler Threaded 25mm,100.0
COU009,Couplers 20mm,11778.0
COU010,Couplers 25mm,2779.0
COU011,Couplers 32mm,804.0
COU012,Couplers 38mm,6.0
COU013,Couplers 50mm,120.0
CRO001,Crown Colorant B,62.0
CRO002,Crown Colorant C,15.0
CRO003,Crown Colorant D,6.0
CRO004,Crown Colorant E,7.0
CRO005,Crown Colorant Ext Orange Us,0.0
CRO006,Crown Colorant High Yellow-QS,1.0
CRO007,Crown Colorant Kx,16.0
CRO008,Crown Colorant M/Yellow- T,5.0
CRO009,Crown Colorant R,1.0
CRO010,Crown Colorant Raw Umber-L,6.0
CRO011,Crown Colorant Red Oxide-F,7.0
CRO012,Crown Colorant Rn,4.0
CRO013,Crown Colorant V,9.5
CRO014,Crown Colorant Violet-Zs,1.0
CRO015,Crown Colorant Yellow An,3.0
CRO016,Crown Colorant Yellow Axx,2.0
CRO024,Crown Wallputty 25kg,841.0
CRO025,Crown Wallputty 1kg,246.0
CRO026,C/S/G Ruff & Tuff Stoneless,8.0
CSG002,C/S/G Aqua Glow B/W 4l,8.0
CSG003,C/E Vesta White 20l,1.0
CSG004,C/S/G Varnish Mahogany 4L,11.0
CSG005,C/S/G Black 4l,27.0
CSG006,C/S/G Roadline Black 4l,14.0
CSG007,C/S/G Zinc phophate Grey 4 l,1.0
CSG009,C/S/G Ruff & Tuff 30l-White Base,144.0
CSG010,C/S/G Vesta Red Oxide 4l-Primer,0.0
CSG011,C/S/G Ruff & Tuff 30l-Clear Base,21.0
CSG013,C/S/G Vesta Undercoat 1 Ltr,0.0
CSG015,C/S/G Ruff & Tuff 5l-Normal,2.0
CUP001,Cup Washers,0.0
CUP002,Cup Wire Brush twisted,2.0
CUP003,Cup Wire Brush smooth,5.0
CUR001,Curtain Balls Black,8.0
CUR002,Curtain Balls Copper,1.0
CUR003,Curtain Balls Gold,2.0
CUR004,Curtain Balls Silver,9.0
CUR005,Curtain Balls White,24.0
CUR007,Curtain Brackets Copper,7.0
CUR008,Curtain Brackets White,8.0
CUR009,Curtain Caps Black,0.0
CUR010,Curtain Caps Copper,0.0
CUR011,Curtain Caps Gold,0.0
CUR012,Curtain Caps Silver,0.0
CUR013,Curtain Caps White,2.0
CUR017,Curtain Ring,20.0
CUR023,Curtain Rod Jk 2m Bronze,1.0
CUR024,Curtain Rod Jk 2m Gold,1.0
CUR025,Curtain Rod Jk 2m White,0.0
CUR027,Curtain Rod Jk 3m White,0.0
CUR028,Curtain Rod Jk 6m Black,1.0
CUR029,Curtain Rod Jk 6m White,4.0
CUT001,Cut Out Double,4.0
CUT002,Cut Out Single,1.0
CUT006,Cutting Disk Diamond 4,90.0
CUT007,Cutting Disk Diamond 7,27.0
CUT008,Cutting Disk Diamond 9,74.0
CUT009,Cutting Disk Metal 4,5.0
CUT010,Grinding Disk 7.,126.0
CUT011,Cutting Disk Metal 9,167.0
CUT012,Cutting Disk Slim 4,226.0
CUT013,Cutting Disk Slim 9,1073.0
CUT014,Cutting Disk Stone 7,0.0
CUT015,Cutting Disk Metal 7,9.0
CUT016,Cutting Disk Damond Continuous 4,4.0
CUT017,Cutting Disk Damond Continuous 7,0.0
CUT018,Cutting Disk Damond Continuous 9,3.0
CYL001,CYLINDER BIG,1.0
CYP001,Syphone,7.0
CYP003,Syphon Top Flush,9.0
CYP005,Cypress 2x1,45.0
CYP006,Cypress 2x2,0.0
CYP011,Cypress 6x2,0.0
CYP012,Cypress 8x1,7.0
CYP014,Cypress Cornice,0.0
CYP016,Cypress Quarter Round,0.0
CYP019,Cyphone Side Flash,2.0
D 1001,D 10,33665.0
D 1002,D 12,12660.0
D 1003,D 16,5981.0
D 2001,D 20,2418.0
D 2002,D 25,375.0
D 3001,D 32,106.0
D 8001,D 8,22231.0
D/E001,D/E Matt Black 1l,2.0
D/E002,D/E Matt Black 4l,9.0
D/E004,D/E Matt Brilliant White 1l,4.0
D/E008,D/E Sf Brill White 20l,43.0
D/E009,D/E Sf Brill White 4l,43.0
D/E010,D/E Sf Brilliant White 1l,13.0
D/E014,D/E Silk White 1l,12.0
D/E015,D/E Silk White 4l,9.0
D/G001,D/G Aquagloss White 1l,1.0
D/G003,D/G Black 4l,4.0
D/G004,D/G Clear Gloss Varnish 1l,0.0
D/G005,D/G Clear Gloss Varnish 4l,5.0
D/G007,D/G Matt Primer Grey 4l,0.0
D/G008,D/G Nc Lacquer 1l,4.0
D/G010,D/G Undercoat 1l,4.0
D/R001,D/Real Roc White 20l,2.0
D/S003,D/Sanding Sealer 1l,2.0
D/S004,D/Sanding Sealer 4l,14.0
D10004,D 10 Accurate,140.0
D12004,D 12 Accurate,80.0
D16003,D 16-Kifaru,733.0
D16004,D 16 Accurate,28.0
D25001,D 25- Kifaru,80.0
D8A001,D 8 Accurate,150.0
DAM001,Variance/DG Goods Sold,9.0
DAR001,Dari,8.0
DAT001,Data Socket Grey,0.0
DAT002,Data Socket Black,0.0
DAY010,Waterpump Dayliff 0.5HP,2.0
DAY011,Dayliff Chlorine65-5kgs,2.0
DEC001,Decra Ridges,0.0
DEC002,Decra Roofing Sheet,0.0
DEC003,Decra Valleys,0.0
DES003,D/E Sf Soft White 1tr,0.0
DEW001,Dewalt Angle Grinder2200w-230mm,1.0
DEW002,Dewalt DrillDriver 18v-1.5Ah,1.0
DEW003,DewaltAngle Grinder220W-180mm,1.0
DEW004,Dewalt Blower800W,0.0
DEW005,Dewalt Paddle Switch 1200w-115mm,1.0
DEW006,Dewalt Circula Saw 1500w-190mm,1.0
DEW007,Dewalt std HeatGun 1800w,0.0
DEW008,Dewalt Grinder 4010,0.0
DEW009,Dewalt Grinder 4120,0.0
DEW010,"Dewalt Grinding Disk4""",1.0
DEW011,"Dewalt Slim cutting4""",4.0
DEW012,Dewalt Hilt 6mm,1.0
DEW013,Dewalt Hilt 14mm,2.0
DEW014,Dewalt Hilt 18mm,0.0
DEW015,Dewalt Hilt 20mm,2.0
DEW016,Dewalt Hilt Elite 12mm-DT8935-QZ,1.0
DEW017,Dewalt Hilt Bit 7mm,3.0
DEW018,Dewalt Hilt Bit 6508- 8mm,0.0
DEW019,Dewalt Hilt Bit6556-6mm,1.0
DEW020,Dewalt Diamond 41/2- 47450hp,1.0
DEW021,Dewalt Diamond 9-47900hp,1.0
DEW022,Dewalt Diamond Cup 4-4772t-AE,1.0
DEW023,"Dewalt Diamond 7""-47702HP",1.0
DEW024,"Dewalt Diamond 9"" -47902 HP",3.0
DEW025,"Dewalt Diamond 4"" dx3721",0.0
DEW026,Dewalt Drill Driver DC077152B,1.0
DEW027,Dewalt Sander DWE6423-B5,0.0
DEW028,Dewalt Laser DW088K-XJ,1.0
DEW029,Dewalt Hammer chuck d25033c-B5,0.0
DEW030,Dewalt Drill Driver DCD710D2-B,0.0
